,NAME,TYPE,DESCRIPTION,OBSERVABLE?
Temperature profiles,,,,
,T_e,vector,Electron temperature across the radius; key driver of fusion reactivity and confinement (keV).,Yes
,T_i,vector,Ion temperature across the plasma radius; tells how hot the ions are from center to edge (keV).,Yes
Density profiles,,,,
,n_e,vector,Electron density profile; number of electrons per cubic meter across the plasma radius (m^-3).,Yes
,n_i,vector,Ion density profile; determines pressure and fusion fuel content (m^-3).,No
,n_impurity,vector,Impurity ion density; affects radiation losses and plasma dilution (m^-3).,No
,Z_eff,vector,Effective ion charge.,No
,Z_i,vector,Main ion charge.,No
,Z_impurity,vector,Impurity ion charge.,No
Magnetic geometry / equilibrium,,,,
,psi,vector,Poloidal magnetic flux; defines magnetic surfaces and confinement structure.,Yes
,psi_norm,vector,"Normalized poloidal magnetic flux (0=core, 1=edge).",Yes
,spr,vector,Derivative of poloidal flux.,Yes
,Phi,vector,Toroidal magnetic flux; relates to toroidal field strength.,No
,vpr,vector,Derivative of toroidal flux.,No
,R_in,vector,Inner major radius of each flux surface.,Yes
,R_out,vector,Outer major radius of each flux surface.,Yes
,area,vector,Cross‑sectional area of each flux surface.,No
,delta,vector,Plasma triangularity; describes shaping of outer contour.,Yes
,delta_lower,vector,Lower triangularity; shape near the bottom of plasma.,Yes
,delta_upper,vector,Upper triangularity; shape near the top of plasma.,Yes
,elongation,vector,Vertical stretching of plasma cross‑section; increases performance.,Yes
,g0,vector,Metric coefficient from equilibrium model (geometry factor).,No
,g1,vector,Metric coefficient from equilibrium model.,No
,g2,vector,Metric coefficient affecting curvature and stability.,No
,g3,vector,Metric coefficient affecting magnetic shear and shaping.,No
,magnetic_shear,vector,Rate of change of q with radius; influences turbulence and stability.,Yes
,q,vector,Safety factor; number of toroidal turns per poloidal turn for field lines—key for MHD stability.,Yes
,r_mid,vector,Midplane minor radius of each flux surface.,No
,volume,vector,Volume enclosed by each flux surface.,No
Current-related profiles,,,,
,Ip_profile,vector,Cumulative plasma current versus radius.,No
,Ip_profile_from_geo,vector,Plasma current reconstructed from geometry.,No
,j_bootstrap,vector,Self‑generated current from pressure gradients (bootstrap current).,No
,j_ecrh,vector,Current driven by electron cyclotron heating.,No
,j_external,vector,Other externally driven current (typically zero).,No
,j_ohmic,vector,Ohmically‑driven current density from transformer action.,No
,j_total,vector,Total current density; main driver of magnetic structure.,No
,psi_from_Ip,vector,Flux reconstructed from current profile.,No
,psi_from_geo,vector,Flux reconstructed from geometric model.,No
Transport coefficients,,,,
,D_turb_e,vector,Electron particle diffusivity due to turbulence.,No
,V_turb_e,vector,Electron convective velocity due to turbulence.,No
,chi_turb_e,vector,Electron heat diffusivity from turbulence.,No
,chi_turb_i,vector,Ion heat diffusivity from turbulence; describes heat spreading.,No
,ei_exchange,vector,Energy exchange between electrons and ions.,No
,sigma_parallel,vector,Parallel electrical conductivity.,No
"Heating, radiation, and power profiles",,,,
,p_alpha_e,vector,Heating power density from alpha particles to electrons.,No
,p_alpha_i,vector,Heating power density from fusion alpha particles to ions.,No
,p_cyclotron_radiation_e,vector,Cyclotron radiation power loss from electrons.,No
,p_ecrh_e,vector,Power deposition from electron cyclotron heating.,No
,p_generic_heat_e,vector,Generic heating added to electrons.,No
,p_generic_heat_i,vector,Generic heating added to ions (usually unused).,No
,p_impurity_radiation_e,vector,Radiative power loss from impurities.,No
,p_ohmic_e,vector,Ohmic heating power delivered to electrons.,Yes
Pressure and toroidal currents,,,,
,F,vector,Toroidal field function,No
,FFprime,vector,Derivative of the squared toroidal field function; part of Grad-Shafranov equilibrium equation.,No
,pprime,vector,Radial derivative of pressure relative to flux; important for equilibrium.,No
,pressure_thermal_e,vector,Thermal pressure from electrons.,No
,pressure_thermal_i,vector,Thermal pressure from ions.,No
,pressure_thermal_total,vector,Total plasma thermal pressure.,No
Other profiles,,,,
,g0_over_vpr,vector,Metric tensor element.,No
,g1_over_vpr,vector,Metric tensor element.,No
,g1_over_vpr2,vector,Metric tensor element.,No
,g2g3_over_rhon,vector,Metric tensor element.,No
